path	kind	type	sentence	basis
README.md	unbound	AMBIGUOUS	Review sees it only after it happened.	'it': 10 candidate antecedents in the preceding 2 sentences: AutoAddPolicy, False, algorithms=["none"], green
README.md	unbound	AMBIGUOUS	Ward sits before the act: the call is denied with a citation and a retry hint before it executes.	'it': 4 candidate antecedents in the preceding 2 sentences: a, act, denied, tool
README.md	unbound	AMBIGUOUS	No state, no history, and nothing configurable about what it denies. <!-- END GENERATED quickstart-c	'it': 11 candidate antecedents in the preceding 2 sentences: Claude, Code, GENERATED, PreToolUse
README.md	unbound	AMBIGUOUS	Enabling it loads [plugin/hooks/hooks.json](plugin/hooks/hooks.json), which sends every `PreToolUse`	'it': 2 candidate antecedents in the preceding 2 sentences: entry, metadata
README.md	unbound	AMBIGUOUS	On a host where the interpreter is not called `python3`, set `WARD_PYTHON` to its path — one executa	'its': 11 candidate antecedents in the preceding 2 sentences: PYTHON, PreToolUse, WARD, WARD_PYTHON
README.md	unbound	AMBIGUOUS	That names the interpreter and nothing else: an override pointing at a missing or broken interpreter	'it': 14 candidate antecedents in the preceding 2 sentences: PYTHON, WARD, WARD_PYTHON, broken
README.md	unbound	AMBIGUOUS	That names the interpreter and nothing else: an override pointing at a missing or broken interpreter	'that': 11 candidate antecedents in the preceding 2 sentences: PYTHON, WARD, WARD_PYTHON, executable
README.md	unbound	AMBIGUOUS	<!-- BEGIN GENERATED checks-heading --> The ordered `CHECKS` table in [plugin/ward/checks.py](plugin	'these': 4 candidate antecedents in the preceding 2 sentences: CHECKS, GENERATED, The, ordered
README.md	unbound	AMBIGUOUS	Evaluate coverage here, not only in [Scope, precisely](#scope-precisely): NotebookEdit receives the 	'its': 3 candidate antecedents in the preceding 2 sentences: NotebookEdit, Scope, ward.forbidden_location
README.md	unbound	AMBIGUOUS	For a `PreToolUse` event, it applies the mutation-input preflight where relevant, then evaluates the	'it': 3 candidate antecedents in the preceding 2 sentences: JSON, PreToolUse, event
README.md	unbound	AMBIGUOUS	- A match becomes `permissionDecision: "deny"` with the `ward.*` row identifier, the specific reason	'its': 4 candidate antecedents in the preceding 2 sentences: becomes, permissionDecision: "deny", reason, ward.*
README.md	unbound	AMBIGUOUS	Malformed input or a shim that cannot start also produces a fail-closed denial, as does an internal 	'these': 12 candidate antecedents in the preceding 2 sentences: Before, END, GENERATED, PreToolUse
README.md	unbound	AMBIGUOUS	A hook subprocess inherits no `LANG`, so Python's stdin decoder used to smuggle each bad byte in as 	'it': 8 candidate antecedents in the preceding 2 sentences: LANG, Python's, UTF-, ast.parse
README.md	unbound	AMBIGUOUS	A hook subprocess inherits no `LANG`, so Python's stdin decoder used to smuggle each bad byte in as 	'that': 11 candidate antecedents in the preceding 2 sentences: LANG, Python, Python's, UTF-
README.md	unbound	AMBIGUOUS	It does not license explaining the refusal wrongly: an agent cannot act on a reason that is not true	'it': 9 candidate antecedents in the preceding 2 sentences: LANG, Python, Python's, ast.parse
README.md	unbound	AMBIGUOUS	`plugin/ward/journal.py` appends to `decisions.jsonl` under `$WARD_STATE_DIR` (default `~/.claude/wa	'it': 11 candidate antecedents in the preceding 2 sentences: $WARD_STATE_DIR, DIR, STATE, WARD
README.md	unbound	AMBIGUOUS	Ward's answer is always `true`; see [Courthouse docs/FAIL-DIRECTION.md](https://github.com/Clear-Sig	'its': 9 candidate antecedents in the preceding 2 sentences: Clear-Sights, Courthouse, FAIL-DIRECTION, failed_closed
README.md	unbound	AMBIGUOUS	The annotation is written by the same agent Ward constrains, so it is an audit trail, not a control 	'it': 10 candidate antecedents in the preceding 2 sentences: AST, Python, Ward, comment
README.md	unbound	AMBIGUOUS	Two measured defeats of the `ward-allow` mechanism itself, both fixed in [plugin/ward/checks.py](plu	'they': 3 candidate antecedents in the preceding 2 sentences: _allow_lines, docstring, ward-allow
README.md	unbound	AMBIGUOUS	Two measured defeats of the `ward-allow` mechanism itself, both fixed in [plugin/ward/checks.py](plu	'its': 2 candidate antecedents in the preceding 2 sentences: _allow_lines, ward-allow
README.md	unbound	AMBIGUOUS	Measured before the fix: a `verify=False` call went from DENIED to allowed with one unrelated string	'it': 13 candidate antecedents in the preceding 2 sentences: DENIED, False, The, added
README.md	unbound	AMBIGUOUS	Measured before the fix: a `verify=False` call went from DENIED to allowed with one unrelated string	'same': 14 candidate antecedents in the preceding 2 sentences: DENIED, False, The, a
README.md	unbound	AMBIGUOUS	After: the marker is tokenized, so only a real Python comment counts, and it is bound to its own lin	'it': 18 candidate antecedents in the preceding 2 sentences: DENIED, False, Python, The
README.md	unbound	AMBIGUOUS	After: the marker is tokenized, so only a real Python comment counts, and it is bound to its own lin	'its': 18 candidate antecedents in the preceding 2 sentences: DENIED, False, Python, The
README.md	unbound	CATAPHORIC	It evaluates the current pending `PreToolUse` event and keeps no state or history; it does not judge	'it': the only candidate follows the reference rather than preceding it
README.md	unbound	AMBIGUOUS	NotebookEdit receives the path check, but its cell text is not parsed by the seven Python rows. - Th	'its': 7 candidate antecedents in the preceding 2 sentences: .py, Edit, MultiEdit, Write
README.md	unbound	AMBIGUOUS	It does not resolve symlinks, inspect mounts, open the target, or provide filesystem confinement.	'it': 12 candidate antecedents in the preceding 2 sentences: .py, Edit, MultiEdit, Python
README.md	unbound	AMBIGUOUS	It is not a general secret scanner and does not decode transformed values. - `{}` means only that no	'it': 12 candidate antecedents in the preceding 2 sentences: Claude, MCP, The, WebFetch
README.md	unbound	AMBIGUOUS	It is not approval, a safety verdict, or proof about the later filesystem or network operation.	'it': 13 candidate antecedents in the preceding 2 sentences: Claude, MCP, The, WebFetch
README.md	unbound	AMBIGUOUS	<!-- BEGIN GENERATED replay-summary --> Beyond the unit suite, `python3 eval/replay.py` replays reco	'it': 10 candidate antecedents in the preceding 2 sentences: Beyond, GENERATED, dispatcher, python3 eval/replay.py
README.md	unbound	AMBIGUOUS	and a benign control that stays silent — 12/12, standard library only. <!-- END GENERATED replay-sum	'it': 3 candidate antecedents in the preceding 2 sentences: END, GENERATED, that
README.md	unbound	AMBIGUOUS	and a benign control that stays silent — 12/12, standard library only. <!-- END GENERATED replay-sum	'its': 5 candidate antecedents in the preceding 2 sentences: END, GENERATED, It, meets
README.md	ungrounded	ASSUMPTION	Under pressure, an agent can take the shortcut that turns a red test green: `requests.get(url, verif	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	<!-- BEGIN GENERATED quickstart-checks --> Ward is a Claude Code `PreToolUse` plugin: an ordered 11-	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	A match denies with a citation and a retry hint; anything else is a silent `{}`.	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	Ward requires Python 3.11 or newer and has no Python package dependencies.	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	The marketplace entry in [.claude-plugin/marketplace.json](.claude-plugin/marketplace.json) exposes 	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	Enabling it loads [plugin/hooks/hooks.json](plugin/hooks/hooks.json), which sends every `PreToolUse`	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	The shim pins execution to the plugin root and runs `python3 -m ward.dispatch`; there is no separate	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	On a host where the interpreter is not called `python3`, set `WARD_PYTHON` to its path — one executa	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	The response contains `permissionDecision: "deny"`.	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	The shell exits normally with status 0[^m-dispatch-exit]: a denial is a hook decision for the host t	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	<!-- BEGIN GENERATED checks-heading --> The ordered `CHECKS` table in [plugin/ward/checks.py](plugin	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	<!-- BEGIN GENERATED contiguous-checks --> The 7 rows from `ward.timing_unsafe_compare` through `war	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	The other 4 use path text, serialized outbound payloads, or introduced-versus-removed mutation text.	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	Evaluate coverage here, not only in [Scope, precisely](#scope-precisely): NotebookEdit receives the 	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	<!-- BEGIN GENERATED dispatch-image --> <picture> <source media="(prefers-color-scheme: dark)" srcse	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	[plugin/ward/dispatch.py](plugin/ward/dispatch.py) reads one JSON event.	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	For a `PreToolUse` event, it applies the mutation-input preflight where relevant, then evaluates the	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	- A match becomes `permissionDecision: "deny"` with the `ward.*` row identifier, the specific reason	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	<!-- BEGIN GENERATED preflight-checks --> Before the 11 rows, a separate `ward.cannot_evaluate` pref	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	Malformed input or a shim that cannot start also produces a fail-closed denial, as does an internal 	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	Before any of that, `plugin/ward/wire.py` reads stdin as **bytes** and repairs anything that is not 	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	A hook subprocess inherits no `LANG`, so Python's stdin decoder used to smuggle each bad byte in as 	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	Every row names `plugin`, `session_id` and `tool_name`, and every deny reason on the wire is prefixe	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	Ward is not the only plugin registering `PreToolUse` `*`, and the host shows the user a reason but n	carries a claim signal (a number, flag, path or symbol) but names no basis for it
README.md	ungrounded	ASSUMPTION	`fault` rows carry `failed_closed`, which makes the bench-wide fail-direction policy checkable again	carries a claim signal (a number, flag, path or symbol) but names no basis for it
