entry	verdict	runner	note
A1	OUT-OF-SUBJECT	-	a sentinel choice inside code; ward denies the act, and reads only typed fields of the pending call
A2	RUNNER	ward.forbidden_location	path text is judged after lexical canonicalization, not on spelling
A3	OUT-OF-SUBJECT	-	pairing of two sequences inside code ward does not execute
A4	OUT-OF-SUBJECT	-	duplicate-key precedence inside code ward does not execute
A5	OUT-OF-SUBJECT	-	an extracted inner value inside code ward does not execute
A6	OUT-OF-SUBJECT	-	threshold behaviour of a metric ward does not compute
A7	OUT-OF-SUBJECT	-	aggregation inside code ward does not execute
A11	OUT-OF-SUBJECT	-	occurrence counting inside code ward does not execute
A13	OUT-OF-SUBJECT	-	which layer set a value; ward reads the call's typed fields, not the platform
B1	RUNNER	ward.self_mute_guard	a mutation that disables a verifier or strips its callable shape is denied
B2	RUNNER	ward.self_mute_guard	removing a check's callable shape is how an assertion stops being able to fail
B4	OUT-OF-SUBJECT	-	proxy-versus-target agreement inside work ward does not grade
B5	RUNNER	ward.self_mute_guard	a verifier reduced to a constant verdict is a disabled verifier
B6	OUT-OF-SUBJECT	-	a graded denominator inside work ward does not compute
B7	RUNNER	tools/register_map.py	every row binds to the one dispatch table; this file binds the register to ward
B8	OUT-OF-SUBJECT	-	absence as evidence, in reasoning ward does not perform
B9	RUNNER	ward.integrity_suppression_flag	a suppression flag or environment gate is an exemption with no checkable end
B10	OUT-OF-SUBJECT	-	abstention rate of a check inside work ward does not run
B11	OUT-OF-SUBJECT	-	a baseline run is not an act ward inspects
B14	OUT-OF-SUBJECT	-	with-and-without measurement is not an act ward inspects
B17	OUT-OF-SUBJECT	-	a detector containing its own pattern, in work ward does not grade
B18	OUT-OF-SUBJECT	-	held-out reporting is a property of a corpus, not of an act
B20	RUNNER	ward.self_mute_guard	editing the subject's verifier until it passes is the mutation this row denies
B21	OUT-OF-SUBJECT	-	isolation of conditions inside a suite ward does not run
B23	OUT-OF-SUBJECT	-	a numeric bound inside code ward does not execute
B24	OUT-OF-SUBJECT	-	citation scope, in prose ward does not read
B26	RUNNER	ward.self_mute_guard	ward's own liveness cannot be removed by the act it is inspecting
B28	OUT-OF-SUBJECT	-	sequencing of test cases inside a suite ward does not run
B32	OUT-OF-SUBJECT	-	a proof's structure inside work ward does not check
B34	RUNNER	tools/register_map.py	ward's own law is run over ward, and names every region it cannot reach
C1	RUNNER	ward.integrity_suppression_flag	a gate that silences verification is how a computed failure is dropped
C2	RUNNER	dispatch fail-closed	an input ward cannot decide is denied, never allowed as undecided
C3	OUT-OF-SUBJECT	-	one item masking others, inside work ward does not grade
C4	RUNNER	dispatch fail-closed	a raising row resolves as a denial, never as permission
C5	RUNNER	dispatch fail-closed	an unrecognised call shape ends in a denial, not a fallthrough
C6	RUNNER	ward.timing_unsafe_compare	the wanted comparison is stated as constant-time; a short-circuiting one is the inversion
C7	OUT-OF-SUBJECT	-	partial output of a producer ward does not run
C8	OUT-OF-SUBJECT	-	a launcher's exit, in work ward does not wait on
C9	RUNNER	audit log	every denial is persisted, not held in the window
