# LEDGER — Ward, at 2bff61e
#
# One row per rule Ward can deny under. The question this file answers is the one the
# owner asked of Ward, Makoto and Keel: does it ACTUALLY fire, and what saw it?
#
# WITNESS    a session in eval/corpus replayed through the real hook entry point by
#            eval/replay.py, which requires the FIRST fire to name this very row. That
#            requirement is why a session is evidence about its own row rather than
#            evidence that the table fires at all: the table is ordered and
#            first-match-wins, so an earlier row shadowing a later one is invisible to
#            a check that only asks whether something denied in time.
# LABEL      machine-checked: replay is a CI step and exits nonzero if any row's
#            declared session fails to fire it.
#
# 12 of 12 rows carry a session.

repo	piece	seam	fires_via	witness	label
Ward	ward.cannot_evaluate	plugin/ward/checks.py	PreToolUse (dispatch)	cannot-evaluate-preflight.jsonl	machine-checked
Ward	ward.cert_none_mode	plugin/ward/checks.py	PreToolUse (dispatch)	cert-none-mode.jsonl	machine-checked
Ward	ward.cert_reqs_none	plugin/ward/checks.py	PreToolUse (dispatch)	cert-reqs-none.jsonl	machine-checked
Ward	ward.cert_verify_disabled	plugin/ward/checks.py	PreToolUse (dispatch)	cert-verify-disabled.jsonl	machine-checked
Ward	ward.forbidden_location	plugin/ward/checks.py	PreToolUse (dispatch)	shell-startup-write.jsonl	machine-checked
Ward	ward.integrity_suppression_flag	plugin/ward/checks.py	PreToolUse (dispatch)	integrity-suppression-flag.jsonl	machine-checked
Ward	ward.jwt_none_alg	plugin/ward/checks.py	PreToolUse (dispatch)	jwt-none-alg.jsonl	machine-checked
Ward	ward.jwt_signature_disabled	plugin/ward/checks.py	PreToolUse (dispatch)	jwt-signature-disabled.jsonl	machine-checked
Ward	ward.outbound_secret_pattern	plugin/ward/checks.py	PreToolUse (dispatch)	outbound-secret.jsonl	machine-checked
Ward	ward.paramiko_host_key_weakened	plugin/ward/checks.py	PreToolUse (dispatch)	paramiko-host-key.jsonl	machine-checked
Ward	ward.self_mute_guard	plugin/ward/checks.py	PreToolUse (dispatch)	self-mute-guard.jsonl	machine-checked
Ward	ward.timing_unsafe_compare	plugin/ward/checks.py	PreToolUse (dispatch)	timing-unsafe-compare.jsonl	machine-checked
